src,dst,relation,weight_admissions,unique_patients,p_disease_given_drug,p_drug_given_disease
drug:simvastatin,icd:9:41519,treat,124,120,0.003552397868561279,0.10139002452984465
drug:simvastatin,icd:9:3310,treat,16,16,0.000458373918524036,0.1
drug:simvastatin,icd:9:44023,treat,108,100,0.0030940239500372429,0.14774281805745554
drug:simvastatin,icd:9:44422,treat,40,40,0.00114593479631009,0.22988505747126436
drug:simvastatin,icd:9:7802,treat,260,247,0.0074485761760155851,0.098335854765506811
drug:furosemide,icd:9:56985,treat,31,27,0.00044714978075236557,0.25833333333333336
drug:warfarin,icd:10:I82412,treat,24,20,0.00083073727933541017,0.15483870967741936
drug:warfarin,icd:9:486,treat,346,315,0.011976462443752164,0.092860976918947929
drug:warfarin,icd:9:1970,treat,14,14,0.0004845967462789893,0.041916167664670656
drug:warfarin,icd:9:25080,treat,53,51,0.0018345448251990309,0.070198675496688748
drug:furosemide,icd:9:40390,treat,63,61,0.00090872374798061392,0.30882352941176472
drug:warfarin,icd:9:55321,treat,23,21,0.00079612322602976807,0.03691813804173355
drug:warfarin,icd:10:J90,treat,28,27,0.00096919349255797859,0.082840236686390539
drug:warfarin,icd:9:7840,treat,16,15,0.00055382485289027345,0.022630834512022632
drug:furosemide,icd:10:I4901,treat,24,24,0.00034618047542118622,0.24242424242424243
drug:furosemide,icd:10:A4150,treat,14,14,0.00020193861066235866,0.13592233009708737
drug:furosemide,icd:10:I081,treat,126,122,0.0018174474959612278,0.67021276595744683
drug:furosemide,icd:9:6823,treat,27,25,0.00038945303484883454,0.048473967684021541
drug:lisinopril,icd:9:8208,treat,52,51,0.0010674330288412194,0.14168937329700274
drug:atenolol,icd:9:51181,treat,14,12,0.00092068920163093518,0.068965517241379309
drug:furosemide,icd:9:9974,treat,16,16,0.00023078698361412417,0.034482758620689655
drug:furosemide,icd:9:9971,treat,62,62,0.00089429956150473115,0.44285714285714284
drug:furosemide,icd:9:42091,treat,15,15,0.0002163627971382414,0.1271186440677966
drug:furosemide,icd:9:25080,treat,139,126,0.0020049619201477037,0.18410596026490067
drug:furosemide,icd:10:K254,treat,29,29,0.00041830140780060003,0.0932475884244373
drug:furosemide,icd:9:1623,treat,56,54,0.00080775444264943462,0.11642411642411643
drug:amlodipine,icd:10:K315,treat,10,9,0.00024119051638889558,0.16393442622950818
drug:amlodipine,icd:10:Z5112,treat,17,14,0.00041002387786112253,0.11409395973154363
drug:amlodipine,icd:9:29181,treat,42,33,0.0010130001688333614,0.039510818438381938
drug:amlodipine,icd:10:I4819,treat,22,21,0.00053061913605557032,0.10185185185185185
drug:amlodipine,icd:10:K4030,treat,11,11,0.00026530956802778516,0.11702127659574468
drug:amlodipine,icd:10:I610,treat,19,19,0.00045826198113890163,0.1144578313253012
drug:lisinopril,icd:9:78651,treat,15,15,0.00030791337370419789,0.098039215686274508
drug:warfarin,icd:10:E11621,treat,21,18,0.00072689511941848386,0.061946902654867256
drug:warfarin,icd:9:49322,treat,55,35,0.0019037729318103151,0.074626865671641784
drug:amlodipine,icd:10:T85898A,treat,11,10,0.00026530956802778516,0.22
drug:atenolol,icd:9:78900,treat,30,29,0.0019729054320662895,0.035842293906810034
drug:atenolol,icd:9:5990,treat,169,150,0.011114033933973432,0.056959892146949784
drug:atenolol,icd:9:20280,treat,16,15,0.0010522162304353545,0.059040590405904057
drug:furosemide,icd:9:5168,treat,13,13,0.00018751442418647588,0.34210526315789475
drug:furosemide,icd:9:5781,treat,94,93,0.0013558735287329796,0.15136876006441224
drug:furosemide,icd:10:Z5112,treat,10,9,0.00014424186475882759,0.067114093959731544
drug:furosemide,icd:10:I495,treat,94,94,0.0013558735287329796,0.22982885085574573
drug:furosemide,icd:9:41402,treat,50,47,0.000721209323794138,0.211864406779661
drug:furosemide,icd:10:T82855A,treat,47,44,0.00067793676436648978,0.23039215686274508
drug:furosemide,icd:10:M7981,treat,25,23,0.000360604661897069,0.16025641025641027
drug:furosemide,icd:10:T8141XA,treat,21,20,0.00030290791599353796,0.073426573426573424
drug:furosemide,icd:10:I255,treat,31,30,0.00044714978075236557,0.39240506329113922
drug:furosemide,icd:9:7907,treat,44,42,0.00063466420493884146,0.12429378531073447
drug:furosemide,icd:10:M1611,treat,34,34,0.00049042234018001384,0.0819277108433735
drug:furosemide,icd:9:27651,treat,54,53,0.00077890606969766908,0.0437246963562753
drug:furosemide,icd:10:S065X9A,treat,46,46,0.000663512577890607,0.081705150976909419
drug:furosemide,icd:9:43311,treat,18,18,0.00025963535656588969,0.08294930875576037
drug:furosemide,icd:9:78959,treat,67,62,0.00096642049388414491,0.43790849673202614
drug:glyburide,icd:9:42731,treat,16,15,0.0093131548311990685,0.0051779935275080907
drug:levofloxacin,icd:9:5722,treat,21,18,0.0014608695652173914,0.039772727272727272
drug:lisinopril,icd:9:53081,treat,64,62,0.0013137637278045776,0.14988290398126464
drug:lisinopril,icd:10:C9000,treat,26,21,0.00053371651442060968,0.08
drug:lisinopril,icd:10:N812,treat,10,10,0.00020527558246946525,0.16666666666666666
drug:lisinopril,icd:10:R109,treat,48,42,0.00098532279585343313,0.06886657101865136
drug:lisinopril,icd:9:99812,treat,45,42,0.00092374012111259363,0.11306532663316583
drug:lisinopril,icd:9:9975,treat,14,14,0.00028738581545725134,0.080459770114942528
drug:lisinopril,icd:10:T82868A,treat,64,60,0.0013137637278045776,0.095665171898355758
drug:lisinopril,icd:9:59080,treat,30,30,0.00061582674740839579,0.064794816414686832
drug:omeprazole,icd:10:I4819,treat,72,70,0.00098392915710068872,0.33333333333333331
drug:omeprazole,icd:9:78701,treat,148,139,0.0020225210451514158,0.15148413510747186
drug:omeprazole,icd:10:T84020A,treat,13,9,0.00017765387558762435,0.18055555555555555
drug:omeprazole,icd:9:5712,treat,108,94,0.0014758937356510332,0.19251336898395721
drug:omeprazole,icd:9:00843,treat,11,11,0.00015032251011260522,0.37931034482758619
drug:omeprazole,icd:10:K5791,treat,18,15,0.00024598228927517218,0.19780219780219779
drug:omeprazole,icd:9:29690,treat,52,43,0.00071061550235049741,0.050096339113680152
drug:omeprazole,icd:10:M109,treat,21,19,0.0002869793374877009,0.14093959731543623
drug:omeprazole,icd:10:R911,treat,38,37,0.00051929594402536354,0.304
drug:omeprazole,icd:9:19889,treat,25,24,0.00034164206843773917,0.15723270440251572
drug:omeprazole,icd:10:S72142A,treat,49,49,0.00066961845413796874,0.15755627009646303
drug:omeprazole,icd:10:J8489,treat,29,28,0.00039630479938777743,0.43283582089552236
drug:omeprazole,icd:10:K224,treat,15,15,0.00020498524106264348,0.26315789473684209
drug:omeprazole,icd:9:5570,treat,28,27,0.00038263911665026783,0.14
drug:omeprazole,icd:9:20280,treat,56,51,0.00076527823330053567,0.20664206642066421
drug:omeprazole,icd:9:99812,treat,55,54,0.00075161255056302608,0.13819095477386933
drug:omeprazole,icd:9:3379,treat,13,11,0.00017765387558762435,0.26530612244897961
drug:omeprazole,icd:10:G893,treat,135,102,0.0018448671695637914,0.36684782608695654
drug:omeprazole,icd:9:57512,treat,12,12,0.00016398819285011479,0.14634146341463414
drug:omeprazole,icd:9:40391,treat,91,76,0.0012435771291133704,0.15016501650165018
drug:omeprazole,icd:9:41011,treat,21,21,0.0002869793374877009,0.071428571428571425
drug:omeprazole,icd:10:F419,treat,17,16,0.00023231660653766261,0.043589743589743588
drug:omeprazole,icd:10:C252,treat,19,18,0.00025964797201268177,0.296875
drug:simvastatin,icd:9:34839,treat,15,15,0.00042972554861628375,0.12605042016806722
drug:simvastatin,icd:9:79902,treat,12,12,0.000343780438893027,0.0916030534351145
drug:simvastatin,icd:9:5609,treat,49,46,0.0014037701254798602,0.041490262489415751
drug:simvastatin,icd:10:K831,treat,24,24,0.000687560877786054,0.040268456375838924
drug:simvastatin,icd:9:1820,treat,42,40,0.0012032315361255944,0.13166144200626959
drug:simvastatin,icd:10:K921,treat,67,64,0.0019194407838194008,0.086675291073738683
drug:furosemide,icd:9:99672,treat,92,88,0.001327025155781214,0.215962441314554
drug:furosemide,icd:10:T83511A,treat,31,31,0.00044714978075236557,0.10097719869706841
drug:furosemide,icd:10:A047,treat,22,19,0.00031733210246942073,0.082397003745318345
drug:furosemide,icd:10:S2241XA,treat,41,41,0.00059139164551119314,0.12538226299694188
drug:furosemide,icd:10:I5181,treat,33,33,0.00047599815370413107,0.32038834951456313
drug:furosemide,icd:10:J9503,treat,20,18,0.00028848372951765518,0.26315789473684209
drug:levofloxacin,icd:9:4239,treat,14,14,0.00097391304347826089,0.0462046204620462
drug:levofloxacin,icd:10:J188,treat,16,16,0.0011130434782608695,0.17582417582417584
drug:amlodipine,icd:10:D649,treat,25,25,0.000602976290972239,0.1072961373390558
drug:amlodipine,icd:9:5856,treat,18,18,0.00043414292950001205,0.16363636363636364
drug:amlodipine,icd:10:I471,treat,39,39,0.00094064301391669279,0.099489795918367346
drug:amlodipine,icd:10:J159,treat,49,49,0.0011818335303055885,0.16279069767441862
drug:amlodipine,icd:10:J188,treat,11,11,0.00026530956802778516,0.12087912087912088
drug:amlodipine,icd:9:8082,treat,28,27,0.00067533344588890769,0.1
drug:amlodipine,icd:9:2859,treat,27,26,0.000651214394250018,0.07605633802816901
drug:amlodipine,icd:10:K521,treat,18,16,0.00043414292950001205,0.081818181818181818
drug:amlodipine,icd:10:K810,treat,40,38,0.00096476206555558231,0.12779552715654952
drug:amlodipine,icd:10:I25118,treat,127,117,0.0030631195581389738,0.23782771535580524
drug:warfarin,icd:9:3310,treat,12,12,0.00041536863966770509,0.075
drug:atenolol,icd:9:2113,treat,10,10,0.0006576351440220965,0.04807692307692308
drug:lisinopril,icd:10:E871,treat,69,66,0.0014164015190393103,0.12432432432432433
drug:lisinopril,icd:9:27549,treat,10,10,0.00020527558246946525,0.14084507042253522
drug:lisinopril,icd:10:R0600,treat,20,20,0.00041055116493893051,0.059701492537313432
drug:lisinopril,icd:9:42843,treat,115,103,0.0023606691983988504,0.21023765996343693
drug:lisinopril,icd:9:56409,treat,26,25,0.00053371651442060968,0.11818181818181818
drug:lisinopril,icd:9:25080,treat,140,130,0.0028738581545725136,0.18543046357615894
drug:omeprazole,icd:10:U071,treat,322,312,0.00440034984147808,0.16623644811564275
drug:omeprazole,icd:9:78900,treat,194,179,0.002651142451076856,0.23178016726403824
drug:omeprazole,icd:9:7907,treat,57,56,0.00077894391603804526,0.16101694915254236
drug:omeprazole,icd:10:K9189,treat,74,70,0.0010112605225757079,0.15879828326180256
drug:omeprazole,icd:10:E1122,treat,46,39,0.00062862140592544007,0.2119815668202765
drug:simvastatin,icd:10:L03115,treat,47,40,0.0013464733856643556,0.069629629629629625
drug:simvastatin,icd:9:V580,treat,11,5,0.00031513206898527472,0.14473684210526316
drug:simvastatin,icd:9:5070,treat,136,127,0.0038961783074543056,0.12014134275618374
drug:simvastatin,icd:9:99666,treat,36,31,0.001031341316679081,0.11464968152866242
drug:warfarin,icd:10:K921,treat,39,36,0.0013499480789200416,0.050452781371280724
drug:furosemide,icd:9:55010,treat,12,12,0.00017309023771059311,0.10810810810810811
drug:lisinopril,icd:10:R627,treat,15,15,0.00030791337370419789,0.097402597402597407
drug:warfarin,icd:10:M1712,treat,26,26,0.00089996538594669438,0.044142614601018676
drug:lisinopril,icd:10:J9601,treat,40,38,0.000821102329877861,0.062794348508634218
drug:warfarin,icd:10:I214,treat,113,110,0.0039113880235375565,0.034609494640122508
drug:simvastatin,icd:9:56212,treat,81,70,0.0023205179625279322,0.17381974248927037
drug:furosemide,icd:9:57450,treat,34,31,0.00049042234018001384,0.10303030303030303
drug:furosemide,icd:10:K922,treat,73,73,0.0010529656127394415,0.14092664092664092
drug:warfarin,icd:9:49121,treat,113,73,0.0039113880235375565,0.088836477987421378
drug:furosemide,icd:10:S72001A,treat,21,21,0.00030290791599353796,0.12138728323699421
drug:furosemide,icd:9:0388,treat,16,16,0.00023078698361412417,0.15094339622641509
drug:amlodipine,icd:10:I609,treat,10,10,0.00024119051638889558,0.063291139240506333
drug:amlodipine,icd:9:4373,treat,70,64,0.0016883336147222692,0.11904761904761904
drug:amlodipine,icd:9:7213,treat,43,42,0.0010371192204722511,0.091295116772823773
drug:amlodipine,icd:10:E11621,treat,63,53,0.0015195002532500423,0.18584070796460178
drug:amlodipine,icd:9:7812,treat,22,22,0.00053061913605557032,0.07586206896551724
drug:amlodipine,icd:9:2989,treat,15,15,0.00036178577458334337,0.010526315789473684
drug:glyburide,icd:9:71536,treat,27,24,0.015715948777648429,0.023076923076923078
drug:lisinopril,icd:10:K529,treat,43,42,0.00088268500461870063,0.083657587548638127
drug:lisinopril,icd:10:R310,treat,20,20,0.00041055116493893051,0.20618556701030927
drug:lisinopril,icd:10:I471,treat,56,53,0.0011495432618290054,0.14285714285714285
drug:lisinopril,icd:9:7804,treat,68,66,0.0013958739607923638,0.079812206572769953
drug:lisinopril,icd:9:20500,treat,22,21,0.00045160628143282356,0.075342465753424653
drug:warfarin,icd:10:E871,treat,25,20,0.00086535133264105228,0.045045045045045043
drug:warfarin,icd:9:4239,treat,33,32,0.001142263759086189,0.10891089108910891
drug:warfarin,icd:9:2749,treat,13,13,0.00044998269297334719,0.15853658536585366
drug:warfarin,icd:9:2536,treat,24,23,0.00083073727933541017,0.095617529880478086
drug:warfarin,icd:9:45342,treat,84,83,0.0029075804776739354,0.53164556962025311
drug:warfarin,icd:9:2767,treat,32,22,0.0011076497057805469,0.084210526315789472
drug:amlodipine,icd:10:K3184,treat,25,12,0.000602976290972239,0.11160714285714286
drug:amlodipine,icd:9:1623,treat,29,29,0.00069945249752779721,0.060291060291060294
drug:amlodipine,icd:10:D259,treat,17,16,0.00041002387786112253,0.070833333333333331
drug:amlodipine,icd:10:K529,treat,48,47,0.0011577144786666987,0.0933852140077821
drug:atenolol,icd:9:78009,treat,11,11,0.00072339865842430617,0.042635658914728682
drug:atenolol,icd:9:71596,treat,53,50,0.0034854662633171116,0.10133843212237094
drug:atenolol,icd:9:99664,treat,20,12,0.001315270288044193,0.050761421319796954
drug:atenolol,icd:9:42833,treat,93,86,0.0061160068394054976,0.040969162995594714
drug:furosemide,icd:10:C3431,treat,21,20,0.00030290791599353796,0.11864406779661017
drug:furosemide,icd:9:78097,treat,25,25,0.000360604661897069,0.015752993068683049
drug:furosemide,icd:9:2252,treat,15,13,0.0002163627971382414,0.048543689320388349
drug:furosemide,icd:9:25060,treat,83,65,0.0011972074774982691,0.17436974789915966
drug:furosemide,icd:9:99831,treat,19,19,0.00027405954304177246,0.19587628865979381
drug:furosemide,icd:9:44021,treat,68,57,0.00098084468036002768,0.074398249452954049
drug:glyburide,icd:9:99674,treat,11,11,0.0064027939464493594,0.016034985422740525
drug:levofloxacin,icd:10:D709,treat,20,19,0.0013913043478260871,0.066889632107023408
drug:levofloxacin,icd:9:51884,treat,50,47,0.0034782608695652175,0.25773195876288657
drug:lisinopril,icd:9:85221,treat,100,98,0.0020527558246946527,0.14903129657228018
drug:lisinopril,icd:10:T8141XA,treat,28,28,0.00057477163091450268,0.0979020979020979
drug:lisinopril,icd:10:J690,treat,57,49,0.0011700708200759519,0.068840579710144928
drug:omeprazole,icd:10:T783XXA,treat,15,15,0.00020498524106264348,0.067873303167420809
drug:omeprazole,icd:10:K8010,treat,54,54,0.00073794686782551659,0.20849420849420849
drug:omeprazole,icd:10:S2241XA,treat,60,60,0.00081994096425057393,0.1834862385321101
drug:omeprazole,icd:10:J40,treat,18,18,0.00024598228927517218,0.40909090909090912
drug:omeprazole,icd:10:I471,treat,65,61,0.00088826937793812179,0.16581632653061223
drug:omeprazole,icd:9:53081,treat,96,93,0.0013119055428009183,0.22482435597189696
drug:omeprazole,icd:10:G20,treat,27,27,0.0003689734339127583,0.1148936170212766
drug:omeprazole,icd:10:T82857A,treat,18,17,0.00024598228927517218,0.13740458015267176
drug:omeprazole,icd:9:25083,treat,23,19,0.00031431070296272003,0.20175438596491227
drug:omeprazole,icd:10:F312,treat,12,10,0.00016398819285011479,0.036036036036036036
drug:omeprazole,icd:9:33818,treat,33,33,0.00045096753033781569,0.13043478260869565
drug:omeprazole,icd:10:T8143XA,treat,40,40,0.00054662730950038262,0.15686274509803921
drug:omeprazole,icd:10:C3492,treat,12,12,0.00016398819285011479,0.27906976744186046
drug:omeprazole,icd:9:3315,treat,14,13,0.00019131955832513392,0.15053763440860216
drug:omeprazole,icd:10:G35,treat,44,38,0.00060129004045042088,0.24444444444444444
drug:omeprazole,icd:9:4240,treat,51,50,0.00069694981961298781,0.10493827160493827
drug:omeprazole,icd:9:78907,treat,37,37,0.000505630261287854,0.22839506172839505
drug:omeprazole,icd:10:K7010,treat,59,49,0.00080627528151306434,0.25877192982456143
drug:omeprazole,icd:10:M170,treat,22,21,0.00030064502022521044,0.21568627450980393
drug:simvastatin,icd:10:I420,treat,10,9,0.00028648369907752252,0.099009900990099015
drug:simvastatin,icd:9:25201,treat,10,10,0.00028648369907752252,0.10309278350515463
drug:simvastatin,icd:9:7213,treat,76,73,0.0021772761129891711,0.16135881104033969
drug:simvastatin,icd:9:25070,treat,49,44,0.0014037701254798602,0.21120689655172414
drug:simvastatin,icd:9:1623,treat,71,68,0.0020340342634504096,0.14760914760914762
drug:warfarin,icd:9:42821,treat,45,45,0.001557632398753894,0.16666666666666666
drug:furosemide,icd:10:T8203XA,treat,14,14,0.00020193861066235866,0.53846153846153844
drug:furosemide,icd:9:2768,treat,12,12,0.00017309023771059311,0.059113300492610835
drug:furosemide,icd:10:I441,treat,51,51,0.00073563351027002076,0.18613138686131386
drug:furosemide,icd:10:C9200,treat,49,48,0.00070678513731825521,0.16279069767441862
drug:furosemide,icd:10:E860,treat,11,11,0.00015866605123471036,0.026315789473684209
drug:furosemide,icd:10:C7931,treat,42,35,0.00060581583198707591,0.059238363892806768
drug:lisinopril,icd:10:K521,treat,12,12,0.00024633069896335828,0.054545454545454543
drug:levofloxacin,icd:9:9974,treat,15,14,0.0010434782608695651,0.032327586206896554
drug:levofloxacin,icd:9:0380,treat,29,28,0.0020173913043478259,0.0847953216374269
drug:amlodipine,icd:9:72210,treat,48,47,0.0011577144786666987,0.048929663608562692
drug:amlodipine,icd:10:K921,treat,65,61,0.0015677383565278213,0.084087968952134537
drug:amlodipine,icd:9:99811,treat,28,28,0.00067533344588890769,0.043010752688172046
drug:amlodipine,icd:10:I6201,treat,30,28,0.00072357154916668674,0.15228426395939088
drug:amlodipine,icd:10:T8649,treat,20,14,0.00048238103277779116,0.15625
drug:amlodipine,icd:10:I6521,treat,42,42,0.0010130001688333614,0.19090909090909092
drug:amlodipine,icd:9:25080,treat,87,80,0.0020983574925833915,0.1152317880794702
drug:amlodipine,icd:9:78906,treat,42,34,0.0010130001688333614,0.046103183315038418
drug:warfarin,icd:9:6827,treat,39,36,0.0013499480789200416,0.081589958158995821
drug:warfarin,icd:10:A047,treat,18,18,0.00062305295950155766,0.06741573033707865
drug:atenolol,icd:9:99673,treat,10,7,0.0006576351440220965,0.018867924528301886
drug:atenolol,icd:10:I480,treat,29,26,0.00190714191766408,0.027488151658767772
drug:furosemide,icd:9:40301,treat,16,13,0.00023078698361412417,0.12903225806451613
drug:lisinopril,icd:10:R1011,treat,22,21,0.00045160628143282356,0.092827004219409287
drug:omeprazole,icd:10:L02211,treat,11,9,0.00015032251011260522,0.171875
drug:omeprazole,icd:10:S065X9A,treat,50,50,0.00068328413687547833,0.088809946714031973
drug:omeprazole,icd:10:M545,treat,34,34,0.00046463321307532523,0.095238095238095233
drug:omeprazole,icd:10:M4806,treat,50,49,0.00068328413687547833,0.211864406779661
drug:omeprazole,icd:9:1629,treat,39,37,0.000532961626762873,0.19796954314720813
drug:omeprazole,icd:9:4659,treat,74,72,0.0010112605225757079,0.18781725888324874
drug:simvastatin,icd:9:5781,treat,65,61,0.0018621440440038963,0.10466988727858294
drug:simvastatin,icd:9:29620,treat,22,22,0.00063026413797054944,0.024719101123595506
drug:levofloxacin,icd:9:78901,treat,12,12,0.00083478260869565221,0.0255863539445629
drug:levofloxacin,icd:9:4941,treat,20,20,0.0013913043478260871,0.24096385542168675
drug:lisinopril,icd:9:4139,treat,27,27,0.00055424407266755618,0.38028169014084506
drug:furosemide,icd:9:41011,treat,101,100,0.0014568428340641587,0.34353741496598639
drug:omeprazole,icd:9:7140,treat,33,27,0.00045096753033781569,0.38372093023255816
drug:simvastatin,icd:10:I724,treat,16,13,0.000458373918524036,0.15384615384615385
drug:furosemide,icd:10:J439,treat,23,22,0.0003317562889453035,0.21495327102803738
drug:furosemide,icd:9:20280,treat,41,38,0.00059139164551119314,0.15129151291512916
drug:furosemide,icd:9:27739,treat,28,22,0.00040387722132471731,0.47457627118644069
drug:amlodipine,icd:9:78079,treat,49,46,0.0011818335303055885,0.079804560260586313
drug:amlodipine,icd:10:M1712,treat,117,117,0.0028219290417500786,0.19864176570458403
drug:amlodipine,icd:10:I714,treat,90,87,0.0021707146475000603,0.21126760563380281
drug:lisinopril,icd:9:43311,treat,21,21,0.00043107872318587706,0.0967741935483871
drug:lisinopril,icd:9:25082,treat,77,68,0.0015806219850148825,0.29166666666666669
drug:lisinopril,icd:9:72210,treat,117,111,0.0024017243148927434,0.11926605504587157
drug:lisinopril,icd:10:R55,treat,155,154,0.0031817715282767113,0.092097445038621509
drug:lisinopril,icd:9:56081,treat,22,22,0.00045160628143282356,0.039783001808318265
drug:lisinopril,icd:10:K810,treat,23,22,0.00047213383967977007,0.073482428115015971
drug:warfarin,icd:10:F0390,treat,10,10,0.00034614053305642093,0.073529411764705885
drug:warfarin,icd:10:M1611,treat,26,26,0.00089996538594669438,0.062650602409638559
drug:warfarin,icd:10:I953,treat,11,11,0.000380754586362063,0.28947368421052633
drug:warfarin,icd:9:44481,treat,10,10,0.00034614053305642093,0.26315789473684209
drug:amlodipine,icd:10:G4089,treat,15,15,0.00036178577458334337,0.10135135135135136
drug:atenolol,icd:9:25080,treat,37,31,0.0024332500328817573,0.04900662251655629
drug:atenolol,icd:9:00845,treat,34,32,0.0022359594896751282,0.035051546391752578
drug:atenolol,icd:9:51889,treat,11,11,0.00072339865842430617,0.081481481481481488
drug:furosemide,icd:9:80501,treat,11,11,0.00015866605123471036,0.10476190476190476
drug:furosemide,icd:9:45341,treat,47,44,0.00067793676436648978,0.096907216494845363
drug:furosemide,icd:9:78605,treat,54,54,0.00077890606969766908,0.11538461538461539
drug:furosemide,icd:10:K420,treat,29,28,0.00041830140780060003,0.2265625
drug:furosemide,icd:9:78907,treat,11,11,0.00015866605123471036,0.067901234567901231
drug:levofloxacin,icd:9:99931,treat,27,27,0.0018782608695652174,0.072192513368983954
drug:lisinopril,icd:9:99666,treat,47,42,0.00096479523760648674,0.14968152866242038
drug:lisinopril,icd:9:431,treat,199,196,0.0040849840911423583,0.16541978387364922
drug:lisinopril,icd:10:F10239,treat,48,39,0.00098532279585343313,0.060377358490566038
drug:lisinopril,icd:9:5401,treat,14,13,0.00028738581545725134,0.074468085106382975
drug:lisinopril,icd:9:78906,treat,68,64,0.0013958739607923638,0.074643249176728863
drug:lisinopril,icd:10:G459,treat,34,33,0.0006979369803961819,0.077097505668934238
drug:omeprazole,icd:9:1970,treat,45,40,0.00061495572318793048,0.1347305389221557
drug:omeprazole,icd:9:28521,treat,12,12,0.00016398819285011479,0.13333333333333333
drug:omeprazole,icd:10:I120,treat,93,85,0.0012709084945883896,0.18825910931174089
drug:omeprazole,icd:10:E222,treat,99,92,0.001352902591013447,0.24504950495049505
drug:omeprazole,icd:9:34510,treat,17,16,0.00023231660653766261,0.064150943396226415
drug:omeprazole,icd:9:45341,treat,90,87,0.001229911446375861,0.18556701030927836
drug:omeprazole,icd:10:T82898A,treat,34,33,0.00046463321307532523,0.18579234972677597
drug:omeprazole,icd:10:E870,treat,11,10,0.00015032251011260522,0.15942028985507245
drug:omeprazole,icd:10:K5641,treat,11,11,0.00015032251011260522,0.275
drug:omeprazole,icd:9:5772,treat,21,17,0.0002869793374877009,0.11052631578947368
drug:omeprazole,icd:9:78702,treat,18,18,0.00024598228927517218,0.12
drug:omeprazole,icd:9:56400,treat,94,89,0.0012845741773258991,0.22014051522248243
drug:omeprazole,icd:9:042,treat,47,42,0.00064228708866294955,0.089015151515151519
drug:omeprazole,icd:9:6930,treat,15,15,0.00020498524106264348,0.080213903743315509
drug:omeprazole,icd:10:T81718A,treat,19,18,0.00025964797201268177,0.22093023255813954
drug:omeprazole,icd:9:53550,treat,64,63,0.00087460369520061219,0.30331753554502372
drug:omeprazole,icd:10:C250,treat,67,61,0.000915600743413141,0.15158371040723981
drug:omeprazole,icd:9:570,treat,24,24,0.00032797638570022957,0.12631578947368421
drug:simvastatin,icd:9:99674,treat,97,87,0.0027788918810519683,0.141399416909621
drug:simvastatin,icd:9:29630,treat,15,15,0.00042972554861628375,0.03968253968253968
drug:simvastatin,icd:9:56400,treat,33,31,0.00094539620695582426,0.077283372365339581
drug:simvastatin,icd:10:B349,treat,11,11,0.00031513206898527472,0.04583333333333333
drug:furosemide,icd:10:I301,treat,15,14,0.0002163627971382414,0.20547945205479451
drug:furosemide,icd:10:I2699,treat,123,122,0.0017741749365335795,0.10875331564986737
drug:furosemide,icd:10:D469,treat,12,11,0.00017309023771059311,0.15789473684210525
drug:furosemide,icd:10:N136,treat,10,10,0.00014424186475882759,0.042735042735042736
drug:furosemide,icd:9:5559,treat,10,5,0.00014424186475882759,0.028901734104046242
drug:furosemide,icd:9:43411,treat,146,145,0.0021059312254788831,0.12597066436583262
drug:furosemide,icd:9:4294,treat,13,7,0.00018751442418647588,0.76470588235294112
drug:levofloxacin,icd:9:03811,treat,26,26,0.0018086956521739131,0.10612244897959183
drug:amlodipine,icd:10:E1110,treat,36,32,0.0008682858590000241,0.17560975609756097
drug:amlodipine,icd:9:V5811,treat,141,66,0.0034007862810834276,0.04742684157416751
drug:amlodipine,icd:10:T814XXA,treat,70,67,0.0016883336147222692,0.080367393800229628
drug:amlodipine,icd:10:T783XXA,treat,23,22,0.00055473818769445984,0.10407239819004525
drug:amlodipine,icd:9:56081,treat,17,16,0.00041002387786112253,0.03074141048824593
drug:amlodipine,icd:10:A4151,treat,60,56,0.0014471430983333735,0.05859375
drug:amlodipine,icd:9:6824,treat,16,16,0.00038590482622223295,0.039408866995073892
drug:amlodipine,icd:9:25013,treat,45,23,0.0010853573237500302,0.084905660377358486
drug:lisinopril,icd:9:55321,treat,75,69,0.0015395668685209895,0.12038523274478331
drug:atenolol,icd:9:311,treat,12,11,0.00078916217282651584,0.0034295513003715348
drug:atenolol,icd:10:A419,treat,62,61,0.004077337892936999,0.012168792934249264
drug:glyburide,icd:9:486,treat,20,20,0.011641443538998836,0.0053676865271068174
drug:lisinopril,icd:9:29690,treat,21,19,0.00043107872318587706,0.02023121387283237
drug:lisinopril,icd:9:78959,treat,10,10,0.00020527558246946525,0.06535947712418301
drug:lisinopril,icd:10:I481,treat,89,84,0.0018269526839782408,0.23482849604221637
drug:lisinopril,icd:9:27652,treat,29,29,0.00059529918916144929,0.15183246073298429
drug:lisinopril,icd:9:38611,treat,33,33,0.0006774094221492354,0.1375
drug:omeprazole,icd:9:2830,treat,15,14,0.00020498524106264348,0.28846153846153844
drug:omeprazole,icd:9:1890,treat,60,60,0.00081994096425057393,0.16574585635359115
drug:omeprazole,icd:9:8054,treat,42,42,0.00057395867497540181,0.096997690531177835
drug:omeprazole,icd:10:E1043,treat,42,19,0.00057395867497540181,0.25454545454545452
drug:omeprazole,icd:10:K8520,treat,43,33,0.00058762435771291129,0.20574162679425836
drug:omeprazole,icd:9:78903,treat,53,45,0.000724281185088007,0.13417721518987341
drug:omeprazole,icd:10:K91840,treat,44,44,0.00060129004045042088,0.13414634146341464
drug:omeprazole,icd:10:F445,treat,15,15,0.00020498524106264348,0.13274336283185842
