dst,distinct_drugs,admissions,patients,disease_label
icd:9:43889,6,103,100,Other late effects of cerebrovascular disease
icd:10:G9340,6,102,101,"Encephalopathy, unspecified"
icd:10:F0390,6,99,97,"Unspecified dementia, unspecified severity, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety"
icd:10:K920,6,99,96,Hematemesis
icd:9:1830,6,99,86,Malignant neoplasm of ovary
icd:10:C679,6,95,88,"Malignant neoplasm of bladder, unspecified"
icd:9:490,6,95,95,"Bronchitis, not specified as acute or chronic"
icd:9:34690,6,94,81,"Migraine, unspecified, without mention of intractable migraine without mention of status migrainosus"
icd:9:56969,6,94,89,Other colostomy and enterostomy complication
icd:9:1748,6,91,90,Malignant neoplasm of other specified sites of female breast
icd:9:56089,6,88,78,Other specified intestinal obstruction
icd:9:9975,6,85,80,"Urinary complications, not elsewhere classified"
icd:9:8244,6,84,82,"Bimalleolar fracture, closed"
icd:9:4423,6,73,67,Aneurysm of artery of lower extremity
icd:9:51889,6,73,73,"Other diseases of lung, not elsewhere classified"
icd:10:K7469,5,416,324,Other cirrhosis of liver
icd:10:E875,5,278,263,Hyperkalemia
icd:9:56212,5,258,232,Diverticulosis of colon with hemorrhage
icd:10:N170,5,240,235,Acute kidney failure with tubular necrosis
icd:10:I2109,5,238,238,ST elevation (STEMI) myocardial infarction involving other coronary artery of anterior wall
icd:9:25061,5,229,125,"Diabetes with neurological manifestations, type I [juvenile type], not stated as uncontrolled"
icd:10:I081,5,218,210,Rheumatic disorders of both mitral and tricuspid valves
icd:10:T8619,5,196,164,Other complication of kidney transplant
icd:10:I083,5,194,191,"Combined rheumatic disorders of mitral, aortic and tricuspid valves"
icd:10:J398,5,192,142,Other specified diseases of upper respiratory tract
icd:10:T80211A,5,190,176,"Bloodstream infection due to central venous catheter, initial encounter"
icd:10:E1010,5,189,142,Type 1 diabetes mellitus with ketoacidosis without coma
icd:9:25063,5,184,88,"Diabetes with neurological manifestations, type I [juvenile type], uncontrolled"
icd:9:99682,5,180,105,Complications of transplanted liver
icd:10:R1013,5,179,162,Epigastric pain
icd:10:C250,5,177,164,Malignant neoplasm of head of pancreas
icd:9:25062,5,177,154,"Diabetes with neurological manifestations, type II or unspecified type, uncontrolled"
icd:10:I483,5,175,172,Typical atrial flutter
icd:10:E1143,5,173,100,Type 2 diabetes mellitus with diabetic autonomic (poly)neuropathy
icd:10:I21A1,5,170,168,Myocardial infarction type 2
icd:10:C3411,5,166,155,"Malignant neoplasm of upper lobe, right bronchus or lung"
icd:9:53783,5,161,131,Angiodysplasia of stomach and duodenum with hemorrhage
icd:9:44101,5,157,154,"Dissection of aorta, thoracic"
icd:10:T82858A,5,156,148,"Stenosis of other vascular prosthetic devices, implants and grafts, initial encounter"
icd:10:K8510,5,155,151,Biliary acute pancreatitis without necrosis or infection
icd:10:I618,5,154,154,Other nontraumatic intracerebral hemorrhage
icd:9:29633,5,154,137,"Major depressive affective disorder, recurrent episode, severe, without mention of psychotic behavior"
icd:10:C3412,5,153,146,"Malignant neoplasm of upper lobe, left bronchus or lung"
icd:10:C786,5,151,143,Secondary malignant neoplasm of retroperitoneum and peritoneum
icd:10:F332,5,149,135,"Major depressive disorder, recurrent severe without psychotic features"
icd:10:T82857A,5,149,144,"Stenosis of other cardiac prosthetic devices, implants and grafts, initial encounter"
icd:9:9971,5,149,149,"Cardiac complications, not elsewhere classified"
icd:9:53550,5,141,140,"Unspecified gastritis and gastroduodenitis, without mention of hemorrhage"
icd:9:99661,5,141,138,"Infection and inflammatory reaction due to cardiac device, implant, and graft"
icd:10:T8141XA,5,140,139,"Infection following a procedure, superficial incisional surgical site, initial encounter"
icd:10:F329,5,138,130,"Major depressive disorder, single episode, unspecified"
icd:10:M4712,5,138,134,"Other spondylosis with myelopathy, cervical region"
icd:10:R7881,5,136,129,Bacteremia
icd:10:T8131XA,5,135,131,"Disruption of external operation (surgical) wound, not elsewhere classified, initial encounter"
icd:10:I352,5,134,134,Nonrheumatic aortic (valve) stenosis with insufficiency
icd:10:I420,5,132,126,Dilated cardiomyopathy
icd:9:4254,5,132,126,Other primary cardiomyopathies
icd:10:D320,5,130,123,Benign neoplasm of cerebral meninges
icd:10:K521,5,130,124,Toxic gastroenteritis and colitis
icd:10:T8579XA,5,128,124,"Infection and inflammatory reaction due to other internal prosthetic devices, implants and grafts, initial encounter"
icd:10:C3431,5,127,123,"Malignant neoplasm of lower lobe, right bronchus or lung"
icd:9:78903,5,127,108,"Abdominal pain, right lower quadrant"
icd:9:99604,5,127,125,Mechanical complication of automatic implantable cardiac defibrillator
icd:10:I6201,5,125,117,Nontraumatic acute subdural hemorrhage
icd:10:K56609,5,124,119,"Unspecified intestinal obstruction, unspecified as to partial versus complete obstruction"
icd:9:5579,5,124,123,Unspecified vascular insufficiency of intestine
icd:10:N200,5,123,102,Calculus of kidney
icd:9:1977,5,122,117,"Malignant neoplasm of liver, secondary"
icd:9:27652,5,121,119,Hypovolemia
icd:9:42832,5,121,117,Chronic diastolic heart failure
icd:9:99601,5,117,117,Mechanical complication due to cardiac pacemaker (electrode)
icd:10:E1110,5,113,98,Type 2 diabetes mellitus with ketoacidosis without coma
icd:10:C73,5,111,103,Malignant neoplasm of thyroid gland
icd:10:K449,5,109,109,Diaphragmatic hernia without obstruction or gangrene
icd:9:29690,5,109,95,Unspecified episodic mood disorder
icd:10:I952,5,106,106,Hypotension due to drugs
icd:10:T8454XA,5,106,77,"Infection and inflammatory reaction due to internal left knee prosthesis, initial encounter"
icd:9:25083,5,105,83,"Diabetes with other specified manifestations, type I [juvenile type], uncontrolled"
icd:10:A408,5,104,101,Other streptococcal sepsis
icd:9:2989,5,103,100,Unspecified psychosis
icd:10:D693,5,101,86,Immune thrombocytopenic purpura
icd:10:I82411,5,101,97,Acute embolism and thrombosis of right femoral vein
icd:10:I6523,5,99,96,Occlusion and stenosis of bilateral carotid arteries
icd:10:K648,5,99,92,Other hemorrhoids
icd:9:1628,5,99,96,Malignant neoplasm of other parts of bronchus or lung
icd:9:7820,5,99,99,Disturbance of skin sensation
icd:9:9951,5,99,95,"Angioneurotic edema, not elsewhere classified"
icd:10:I959,5,98,96,"Hypotension, unspecified"
icd:9:25081,5,98,78,"Diabetes with other specified manifestations, type I [juvenile type], not stated as uncontrolled"
icd:10:I9789,5,97,97,"Other postprocedural complications and disorders of the circulatory system, not elsewhere classified"
icd:10:K9186,5,96,94,Retained cholelithiasis following cholecystectomy
icd:9:73342,5,96,84,Aseptic necrosis of head and neck of femur
icd:10:G8929,5,95,85,Other chronic pain
icd:9:53240,5,94,94,"Chronic or unspecified duodenal ulcer with hemorrhage, without mention of obstruction"
icd:9:33818,5,93,93,Other acute postoperative pain
icd:10:I2694,5,92,92,Multiple subsegmental pulmonary emboli without acute cor pulmonale
icd:10:K5660,5,92,81,Unspecified intestinal obstruction
icd:9:73027,5,92,90,"Unspecified osteomyelitis, ankle and foot"
icd:9:38612,5,91,86,Vestibular neuronitis
icd:9:27542,5,90,83,Hypercalcemia
icd:9:2768,5,89,84,Hypopotassemia
icd:9:34839,5,89,87,Other encephalopathy
icd:9:42613,5,89,89,Other second degree atrioventricular block
icd:10:K264,5,87,86,Chronic or unspecified duodenal ulcer with hemorrhage
icd:10:M170,5,87,86,Bilateral primary osteoarthritis of knee
icd:9:25000,5,87,87,"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled"
icd:9:72992,5,87,86,Nontraumatic hematoma of soft tissue
icd:9:8246,5,86,83,"Trimalleolar fracture, closed"
icd:10:L03113,5,85,85,Cellulitis of right upper limb
icd:9:28521,5,85,81,Anemia in chronic kidney disease
icd:9:99642,5,85,67,Dislocation of prosthetic joint
icd:10:T8132XA,5,83,80,"Disruption of internal operation (surgical) wound, not elsewhere classified, initial encounter"
icd:9:72252,5,82,79,Degeneration of lumbar or lumbosacral intervertebral disc
icd:9:5571,5,81,78,Chronic vascular insufficiency of intestine
icd:9:55090,5,80,79,"Inguinal hernia, without mention of obstruction or gangrene, unilateral or unspecified (not specified as recurrent)"
icd:10:C7801,5,79,77,Secondary malignant neoplasm of right lung
icd:10:G9341,5,79,77,Metabolic encephalopathy
icd:9:7862,5,79,79,Cough
icd:9:1976,5,78,73,Secondary malignant neoplasm of retroperitoneum and peritoneum
icd:9:4139,5,78,78,Other and unspecified angina pectoris
icd:10:T8142XA,5,76,74,"Infection following a procedure, deep incisional surgical site, initial encounter"
icd:9:7384,5,76,76,Acquired spondylolisthesis
icd:9:9623,5,76,72,Poisoning by insulins and antidiabetic agents
icd:9:4270,5,75,75,Paroxysmal supraventricular tachycardia
icd:10:I743,5,74,70,Embolism and thrombosis of arteries of the lower extremities
icd:10:S271XXA,5,73,69,"Traumatic hemothorax, initial encounter"
icd:9:34510,5,73,71,"Generalized convulsive epilepsy, without mention of intractable epilepsy"
icd:9:99832,5,73,72,Disruption of external operation (surgical) wound
icd:10:I69398,5,72,72,Other sequelae of cerebral infarction
icd:9:3310,5,72,72,Alzheimer's disease
icd:9:5691,5,72,61,Rectal prolapse
icd:9:8080,5,72,72,Closed fracture of acetabulum
icd:9:99813,5,72,71,Seroma complicating a procedure
icd:9:85301,5,71,71,"Other and unspecified intracranial hemorrhage following injury without mention of open intracranial wound, with no loss of consciousness"
icd:10:I724,5,70,62,Aneurysm of artery of lower extremity
icd:10:L7632,5,70,69,Postprocedural hematoma of skin and subcutaneous tissue following other procedure
icd:9:70715,5,70,70,Ulcer of other part of foot
icd:9:0383,5,68,68,Septicemia due to anaerobes
icd:9:99883,5,68,67,Non-healing surgical wound
icd:9:99678,5,67,67,"Other complications due to other internal orthopedic device, implant, and graft"
icd:9:71531,5,66,62,"Osteoarthrosis, localized, not specified whether primary or secondary, shoulder region"
icd:9:80501,5,63,60,Closed fracture of first cervical vertebra
icd:9:42612,5,62,62,Mobitz (type) II atrioventricular block
icd:10:T82110A,5,60,60,"Breakdown (mechanical) of cardiac electrode, initial encounter"
icd:9:5712,4,380,310,Alcoholic cirrhosis of liver
icd:10:I2119,4,216,215,ST elevation (STEMI) myocardial infarction involving other coronary artery of inferior wall
icd:10:F10239,4,206,165,"Alcohol dependence with withdrawal, unspecified"
icd:10:T82855A,4,162,146,"Stenosis of coronary artery stent, initial encounter"
icd:9:29620,4,143,134,"Major depressive affective disorder, single episode, unspecified"
icd:10:C787,4,138,134,Secondary malignant neoplasm of liver and intrahepatic bile duct
icd:10:K219,4,135,135,Gastro-esophageal reflux disease without esophagitis
icd:10:A09,4,131,131,"Infectious gastroenteritis and colitis, unspecified"
icd:9:25012,4,129,116,"Diabetes with ketoacidosis, type II or unspecified type, uncontrolled"
icd:10:E6601,4,127,127,Morbid (severe) obesity due to excess calories
icd:10:I5031,4,127,127,Acute diastolic (congestive) heart failure
icd:10:I5043,4,123,111,Acute on chronic combined systolic (congestive) and diastolic (congestive) heart failure
icd:10:A4181,4,122,119,Sepsis due to Enterococcus
icd:10:I611,4,122,121,"Nontraumatic intracerebral hemorrhage in hemisphere, cortical"
icd:9:78959,4,122,114,Other ascites
icd:10:R197,4,120,115,"Diarrhea, unspecified"
icd:9:5711,4,119,108,Acute alcoholic hepatitis
icd:10:M5116,4,112,109,"Intervertebral disc disorders with radiculopathy, lumbar region"
icd:9:2189,4,111,110,"Leiomyoma of uterus, unspecified"
icd:10:T826XXA,4,109,99,"Infection and inflammatory reaction due to cardiac valve prosthesis, initial encounter"
icd:10:K861,4,107,76,Other chronic pancreatitis
icd:10:R1011,4,107,96,Right upper quadrant pain
icd:10:K8010,4,105,105,Calculus of gallbladder with chronic cholecystitis without obstruction
icd:10:E8770,4,104,101,"Fluid overload, unspecified"
icd:10:N12,4,103,96,"Tubulo-interstitial nephritis, not specified as acute or chronic"
icd:10:K830,4,101,81,Cholangitis
icd:9:5780,4,100,96,Hematemesis
icd:10:K8012,4,99,99,Calculus of gallbladder with acute and chronic cholecystitis without obstruction
icd:10:E1043,4,98,44,Type 1 diabetes mellitus with diabetic autonomic (poly)neuropathy
icd:9:311,4,98,94,"Depressive disorder, not elsewhere classified"
icd:9:40300,4,97,93,"Hypertensive chronic kidney disease, malignant, with chronic kidney disease stage I through stage IV, or unspecified"
icd:9:29570,4,96,83,"Schizoaffective disorder, unspecified"
icd:10:K3580,4,94,91,Unspecified acute appendicitis
icd:10:B349,4,93,92,"Viral infection, unspecified"
icd:10:R0602,4,93,92,Shortness of breath
icd:10:J9602,4,91,91,Acute respiratory failure with hypercapnia
icd:10:I484,4,89,84,Atypical atrial flutter
icd:10:G20,4,88,87,Parkinson's disease
icd:10:I5022,4,88,87,Chronic systolic (congestive) heart failure
icd:10:T8189XA,4,88,86,"Other complications of procedures, not elsewhere classified, initial encounter"
icd:9:33829,4,88,84,Other chronic pain
icd:10:A4102,4,87,85,Sepsis due to Methicillin resistant Staphylococcus aureus
icd:10:E1100,4,85,83,Type 2 diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC)
icd:10:G8918,4,85,83,Other acute postprocedural pain
icd:10:N10,4,84,80,Acute pyelonephritis
icd:9:82022,4,84,84,Closed fracture of subtrochanteric section of neck of femur
icd:10:I10,4,83,83,Essential (primary) hypertension
icd:10:I482,4,83,81,Chronic atrial fibrillation
icd:10:I213,4,82,82,ST elevation (STEMI) myocardial infarction of unspecified site
icd:10:T8143XA,4,82,81,"Infection following a procedure, organ and space surgical site, initial encounter"
icd:10:C3432,4,81,77,"Malignant neoplasm of lower lobe, left bronchus or lung"
icd:10:D500,4,81,77,Iron deficiency anemia secondary to blood loss (chronic)
icd:10:I255,4,81,80,Ischemic cardiomyopathy
icd:10:S72001A,4,81,81,"Fracture of unspecified part of neck of right femur, initial encounter for closed fracture"
icd:9:56985,4,81,72,Angiodysplasia of intestine with hemorrhage
icd:9:03812,4,79,77,Methicillin resistant Staphylococcus aureus septicemia
icd:10:I610,4,78,78,"Nontraumatic intracerebral hemorrhage in hemisphere, subcortical"
icd:10:J439,4,78,71,"Emphysema, unspecified"
icd:10:T8149XA,4,77,76,"Infection following a procedure, other surgical site, initial encounter"
icd:9:28803,4,77,74,Drug induced neutropenia
icd:10:C8339,4,76,72,"Diffuse large B-cell lymphoma, extranodal and solid organ sites"
icd:9:5559,4,76,55,Regional enteritis of unspecified site
icd:9:78907,4,76,76,"Abdominal pain, generalized"
icd:10:C711,4,75,64,Malignant neoplasm of frontal lobe
icd:9:4821,4,75,70,Pneumonia due to Pseudomonas
icd:9:72271,4,75,75,"Intervertebral disc disorder with myelopathy, cervical region"
icd:10:I319,4,74,74,"Disease of pericardium, unspecified"
icd:9:5601,4,74,70,Paralytic ileus
icd:9:7140,4,74,60,Rheumatoid arthritis
icd:10:C3490,4,73,69,Malignant neoplasm of unspecified part of unspecified bronchus or lung
icd:10:I129,4,73,72,"Hypertensive chronic kidney disease with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease"
icd:9:2411,4,73,73,Nontoxic multinodular goiter
icd:9:5768,4,73,72,Other specified disorders of biliary tract
icd:9:78904,4,72,68,"Abdominal pain, left lower quadrant"
icd:10:I638,4,71,70,Other cerebral infarction
icd:10:M19012,4,71,71,"Primary osteoarthritis, left shoulder"
icd:10:R4182,4,71,70,"Altered mental status, unspecified"
icd:9:514,4,71,71,Pulmonary congestion and hypostasis
icd:10:T8743,4,70,61,"Infection of amputation stump, right lower extremity"
icd:9:19889,4,70,68,Secondary malignant neoplasm of other specified sites
icd:9:27669,4,68,67,Other fluid overload
icd:9:42741,4,68,66,Ventricular fibrillation
icd:9:7100,4,68,53,Systemic lupus erythematosus
icd:10:E861,4,67,66,Hypovolemia
icd:10:I70261,4,67,64,"Atherosclerosis of native arteries of extremities with gangrene, right leg"
icd:10:J9589,4,67,67,"Other postprocedural complications and disorders of respiratory system, not elsewhere classified"
icd:9:29630,4,67,64,"Major depressive affective disorder, recurrent episode, unspecified"
icd:9:3320,4,67,58,Paralysis agitans
icd:9:42091,4,67,66,Acute idiopathic pericarditis
icd:9:53019,4,67,64,Other esophagitis
icd:9:78720,4,67,65,"Dysphagia, unspecified"
icd:9:25072,4,66,64,"Diabetes with peripheral circulatory disorders, type II or unspecified type, uncontrolled"
icd:9:80703,4,66,66,Closed fracture of three ribs
icd:10:T82856A,4,65,60,"Stenosis of peripheral vascular stent, initial encounter"
icd:9:5856,4,65,62,End stage renal disease
icd:9:82123,4,65,65,Closed supracondylar fracture of femur
icd:9:9351,4,65,62,Foreign body in esophagus
icd:10:I615,4,64,64,"Nontraumatic intracerebral hemorrhage, intraventricular"
icd:9:3315,4,64,54,Idiopathic normal pressure hydrocephalus (INPH)
icd:9:4111,4,64,64,Intermediate coronary syndrome
icd:9:60784,4,64,63,Impotence of organic origin
icd:10:C7802,4,63,59,Secondary malignant neoplasm of left lung
icd:10:K559,4,63,60,"Vascular disorder of intestine, unspecified"
icd:9:0388,4,63,63,Other specified septicemias
icd:9:72888,4,63,63,Rhabdomyolysis
icd:9:7851,4,63,61,Palpitations
icd:10:C221,4,62,60,Intrahepatic bile duct carcinoma
icd:10:E854,4,62,58,Organ-limited amyloidosis
icd:10:G40109,4,62,60,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures, not intractable, without status epilepticus"
icd:10:M8458XA,4,62,60,"Pathological fracture in neoplastic disease, other specified site, initial encounter for fracture"
icd:9:99644,4,62,62,Peri-prosthetic fracture around prosthetic joint
icd:9:99669,4,62,59,"Infection and inflammatory reaction due to other internal prosthetic device, implant, and graft"
icd:10:C7989,4,61,61,Secondary malignant neoplasm of other specified sites
icd:10:K5289,4,61,61,Other specified noninfective gastroenteritis and colitis
icd:9:5521,4,61,61,Umbilical hernia with obstruction
icd:9:72989,4,61,61,Other musculoskeletal symptoms referable to limbs
icd:10:C712,4,60,52,Malignant neoplasm of temporal lobe
icd:10:G4089,4,60,60,Other seizures
icd:10:H8110,4,60,60,"Benign paroxysmal vertigo, unspecified ear"
icd:10:L03114,4,60,58,Cellulitis of left upper limb
icd:9:566,4,60,55,Abscess of anal and rectal regions
icd:9:6184,4,60,60,"Uterovaginal prolapse, unspecified"
icd:10:E11628,4,59,56,Type 2 diabetes mellitus with other skin complications
icd:10:I739,4,59,59,"Peripheral vascular disease, unspecified"
icd:9:3241,4,59,54,Intraspinal abscess
icd:10:I609,4,58,58,"Nontraumatic subarachnoid hemorrhage, unspecified"
icd:10:J188,4,58,58,"Other pneumonia, unspecified organism"
icd:10:T8744,4,57,46,"Infection of amputation stump, left lower extremity"
icd:9:99639,4,57,50,"Other mechanical complication of genitourinary device, implant, and graft"
icd:10:T81718A,4,56,55,"Complication of other artery following a procedure, not elsewhere classified, initial encounter"
icd:10:I70245,4,55,51,Atherosclerosis of native arteries of left leg with ulceration of other part of foot
icd:9:28731,4,54,47,Immune thrombocytopenic purpura
icd:9:33182,4,54,54,Dementia with lewy bodies
icd:9:34550,4,54,54,"Localization-related (focal) (partial) epilepsy and epileptic syndromes with simple partial seizures, without mention of intractable epilepsy"
icd:9:51289,4,54,46,Other pneumothorax
icd:9:73314,4,54,53,Pathologic fracture of neck of femur
icd:10:B20,4,53,46,Human immunodeficiency virus [HIV] disease
icd:10:C182,4,53,52,Malignant neoplasm of ascending colon
icd:9:99851,4,53,53,Infected postoperative seroma
icd:9:5772,4,52,44,Cyst and pseudocyst of pancreas
icd:10:I70222,4,51,47,"Atherosclerosis of native arteries of extremities with rest pain, left leg"
icd:10:J208,4,51,50,Acute bronchitis due to other specified organisms
icd:10:K2971,4,51,48,"Gastritis, unspecified, with bleeding"
icd:10:Q211,4,51,50,Atrial septal defect
icd:9:51909,4,51,48,Other tracheostomy complications
icd:9:V552,4,50,50,Attention to ileostomy
icd:9:45821,4,49,41,Hypotension of hemodialysis
icd:9:78062,4,49,49,Postprocedural fever
icd:10:J869,4,48,47,Pyothorax without fistula
icd:9:0539,4,48,48,Herpes zoster without mention of complication
icd:9:32723,4,48,48,Obstructive sleep apnea (adult)(pediatric)
icd:9:71591,4,48,45,"Osteoarthrosis, unspecified whether generalized or localized, shoulder region"
icd:9:99889,4,46,46,Other specified complications of procedures not elsewhere classified
icd:9:25201,4,45,44,Primary hyperparathyroidism
icd:9:4408,4,45,44,Atherosclerosis of other specified arteries
icd:9:920,4,45,45,"Contusion of face, scalp, and neck except eye(s)"
icd:9:4439,4,44,43,"Peripheral vascular disease, unspecified"
icd:10:G3183,4,43,40,Neurocognitive disorder with Lewy bodies
icd:10:K7200,3,238,186,Acute and subacute hepatic failure without coma
icd:9:07044,3,192,139,Chronic hepatitis C with hepatic coma
icd:10:I5021,3,170,170,Acute systolic (congestive) heart failure
icd:9:56723,3,133,126,Spontaneous bacterial peritonitis
icd:10:E43,3,110,105,Unspecified severe protein-calorie malnutrition
icd:10:K8309,3,106,77,Other cholangitis
icd:10:K8520,3,89,71,Alcohol induced acute pancreatitis without necrosis or infection
icd:9:41001,3,89,89,"Acute myocardial infarction of anterolateral wall, initial episode of care"
icd:9:41511,3,88,87,Iatrogenic pulmonary embolism and infarction
icd:10:K2970,3,85,81,"Gastritis, unspecified, without bleeding"
icd:9:7464,3,81,81,Congenital insufficiency of aortic valve
icd:9:48242,3,80,78,Methicillin resistant pneumonia due to Staphylococcus aureus
icd:10:I2102,3,79,79,ST elevation (STEMI) myocardial infarction involving left anterior descending coronary artery
icd:10:T8613,3,78,64,Kidney transplant infection
icd:10:E8352,3,75,66,Hypercalcemia
icd:9:340,3,75,50,Multiple sclerosis
icd:10:C641,3,74,71,"Malignant neoplasm of right kidney, except renal pelvis"
icd:10:I5181,3,73,72,Takotsubo syndrome
icd:10:J849,3,72,67,"Interstitial pulmonary disease, unspecified"
icd:10:G40409,3,70,67,"Other generalized epilepsy and epileptic syndromes, not intractable, without status epilepticus"
icd:10:M545,3,70,70,Low back pain
icd:10:I2111,3,68,68,ST elevation (STEMI) myocardial infarction involving right coronary artery
icd:10:I330,3,67,64,Acute and subacute infective endocarditis
icd:10:I81,3,67,66,Portal vein thrombosis
icd:10:D701,3,66,62,Agranulocytosis secondary to cancer chemotherapy
icd:10:R627,3,66,66,Adult failure to thrive
icd:10:T8612,3,66,57,Kidney transplant failure
icd:10:E8779,3,64,62,Other fluid overload
icd:10:I614,3,64,63,Nontraumatic intracerebral hemorrhage in cerebellum
icd:9:3968,3,64,62,Multiple involvement of mitral and aortic valves
icd:10:J95811,3,63,61,Postprocedural pneumothorax
icd:10:K56600,3,63,59,"Partial intestinal obstruction, unspecified as to cause"
icd:10:R911,3,63,62,Solitary pulmonary nodule
icd:9:41031,3,63,63,"Acute myocardial infarction of inferoposterior wall, initial episode of care"
icd:9:452,3,63,60,Portal vein thrombosis
icd:10:T8649,3,61,49,Other complications of liver transplant
icd:9:3963,3,61,60,Mitral valve insufficiency and aortic valve insufficiency
icd:9:29634,3,60,51,"Major depressive affective disorder, recurrent episode, severe, specified as with psychotic behavior"
icd:10:I309,3,58,58,"Acute pericarditis, unspecified"
icd:10:J9503,3,58,48,Malfunction of tracheostomy stoma
icd:10:J810,3,57,54,Acute pulmonary edema
icd:10:Z5112,3,57,47,Encounter for antineoplastic immunotherapy
icd:10:E1069,3,56,50,Type 1 diabetes mellitus with other specified complication
icd:9:25042,3,56,54,"Diabetes with renal manifestations, type II or unspecified type, uncontrolled"
icd:9:42820,3,55,55,"Systolic heart failure, unspecified"
icd:9:1749,3,54,50,"Malignant neoplasm of breast (female), unspecified"
icd:9:42983,3,54,54,Takotsubo syndrome
icd:9:4941,3,54,48,Bronchiectasis with acute exacerbation
icd:10:I872,3,53,49,Venous insufficiency (chronic) (peripheral)
icd:10:K551,3,53,49,Chronic vascular disorders of intestine
icd:9:29574,3,53,46,"Schizoaffective disorder, chronic with acute exacerbation"
icd:10:R310,3,52,52,Gross hematuria
icd:9:03843,3,52,52,Septicemia due to pseudomonas
icd:10:G43909,3,51,51,"Migraine, unspecified, not intractable, without status migrainosus"
icd:10:R51,3,51,51,Headache
icd:10:C259,3,50,46,"Malignant neoplasm of pancreas, unspecified"
icd:9:1911,3,50,44,Malignant neoplasm of frontal lobe
icd:9:2181,3,50,50,Intramural leiomyoma of uterus
icd:10:D352,3,49,45,Benign neoplasm of pituitary gland
icd:10:I301,3,49,46,Infective pericarditis
icd:9:5109,3,49,49,Empyema without mention of fistula
icd:9:5641,3,49,44,Irritable bowel syndrome
icd:10:E1022,3,48,45,Type 1 diabetes mellitus with diabetic chronic kidney disease
icd:10:E10649,3,48,40,Type 1 diabetes mellitus with hypoglycemia without coma
icd:10:E876,3,48,48,Hypokalemia
icd:10:G309,3,48,47,"Alzheimer's disease, unspecified"
icd:10:M19011,3,48,47,"Primary osteoarthritis, right shoulder"
icd:10:T783XXA,3,48,46,"Angioneurotic edema, initial encounter"
icd:10:T865,3,48,39,Complications of stem cell transplant
icd:9:0479,3,48,47,Unspecified viral meningitis
icd:9:5184,3,48,48,"Acute edema of lung, unspecified"
icd:9:8248,3,48,46,"Unspecified fracture of ankle, closed"
icd:10:G610,3,47,42,Guillain-Barre syndrome
icd:10:N186,3,47,46,End stage renal disease
icd:9:6820,3,47,46,Cellulitis and abscess of face
icd:10:D61818,3,46,46,Other pancytopenia
icd:10:I70211,3,46,43,"Atherosclerosis of native arteries of extremities with intermittent claudication, right leg"
icd:10:I70221,3,46,41,"Atherosclerosis of native arteries of extremities with rest pain, right leg"
icd:10:K838,3,46,44,Other specified diseases of biliary tract
icd:9:78702,3,46,46,Nausea alone
icd:10:A401,3,45,45,"Sepsis due to streptococcus, group B"
icd:10:D259,3,45,44,"Leiomyoma of uterus, unspecified"
icd:10:F319,3,45,39,"Bipolar disorder, unspecified"
icd:10:I890,3,45,25,"Lymphedema, not elsewhere classified"
icd:10:K5909,3,45,43,Other constipation
icd:10:Z1211,3,45,41,Encounter for screening for malignant neoplasm of colon
icd:9:7231,3,45,45,Cervicalgia
icd:10:K436,3,44,44,"Other and unspecified ventral hernia with obstruction, without gangrene"
icd:10:T82838A,3,44,37,"Hemorrhage due to vascular prosthetic devices, implants and grafts, initial encounter"
icd:10:E1065,3,43,34,Type 1 diabetes mellitus with hyperglycemia
icd:10:G939,3,43,41,"Disorder of brain, unspecified"
icd:10:I25111,3,43,33,Atherosclerotic heart disease of native coronary artery with angina pectoris with documented spasm
icd:10:I428,3,43,43,Other cardiomyopathies
icd:9:2273,3,43,39,Benign neoplasm of pituitary gland and craniopharyngeal duct
icd:9:73028,3,43,40,"Unspecified osteomyelitis, other specified sites"
icd:9:85202,3,43,43,"Subarachnoid hemorrhage following injury without mention of open intracranial wound, with brief [less than one hour] loss of consciousness"
icd:10:F209,3,42,31,"Schizophrenia, unspecified"
icd:10:I70262,3,42,39,"Atherosclerosis of native arteries of extremities with gangrene, left leg"
icd:10:M3214,3,42,34,Glomerular disease in systemic lupus erythematosus
icd:10:M6282,3,42,42,Rhabdomyolysis
icd:9:1972,3,42,41,Secondary malignant neoplasm of pleura
icd:9:27549,3,42,37,Other disorders of calcium metabolism
icd:9:68110,3,42,42,"Cellulitis and abscess of toe, unspecified"
icd:9:7230,3,42,41,Spinal stenosis in cervical region
icd:9:78652,3,42,42,Painful respiration
icd:9:V7281,3,42,42,Pre-operative cardiovascular examination
icd:10:E210,3,41,38,Primary hyperparathyroidism
icd:10:J1100,3,41,41,Influenza due to unidentified influenza virus with unspecified type of pneumonia
icd:10:M5117,3,41,41,"Intervertebral disc disorders with radiculopathy, lumbosacral region"
icd:10:S2243XA,3,41,40,"Multiple fractures of ribs, bilateral, initial encounter for closed fracture"
icd:9:53551,3,41,41,"Unspecified gastritis and gastroduodenitis, with hemorrhage"
icd:10:C20,3,40,34,Malignant neoplasm of rectum
icd:10:D61810,3,40,39,Antineoplastic chemotherapy induced pancytopenia
